OBJECTID,FIPS,COUNTY,STATE,POPULATION,SQMI,mean_price_30_night_NoNull,mean_price_1_night_NoNull,Point_Count_1_NoNull,Shape_Length,Shape_Area,mean_price_01,mean_price_02,mean_price_03,mean_price_04,mean_price_05,mean_price_06,mean_price_07,mean_price_08,mean_price_09,mean_price_10,mean_price_11,mean_price_12,mean_price_13,mean_price_14,mean_price_15,mean_price_16,mean_price_17,mean_price_18,mean_price_19,mean_price_20,mean_price_21,mean_price_22,mean_price_23,mean_price_24,mean_price_25,mean_price_26,mean_price_27,mean_price_28,mean_price_29,mean_price_30,mean_price_31,Point_Count
43,06073008200,San Diego,CA,3094,0.51,9976.333333,332.6666667,9,18083.08449,13921282.04,333.4444444,334,307.8888889,310.2222222,308.3333333,309,326.5555556,349,349,324.1111111,330.5555556,316.4444444,313.6666667,309.2222222,335.3333333,335.3333333,325.8888889,309.6666667,323.5555556,312,311.5555556,330.1111111,340,324.1111111,319.6666667,325.2222222,325.2222222,325.2222222,377.5555556,375,383,9
44,06073008303,San Diego,CA,3483,1.71,21717.25,723.75,4,30129.2278,47678343.95,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,723.75,4
45,06073008305,San Diego,CA,10499,1.71,9236.9449,307.897764,2.66234,29487.5524,47633048.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
46,06073008306,San Diego,CA,2951,1.06,9236.9449,307.897764,2.66234,24156.06825,29520136.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
47,06073008307,San Diego,CA,3705,0.85,9236.9449,307.897764,2.66234,21878.6126,23497611.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
48,06073008310,San Diego,CA,5549,2,14337,478,1,40613.67632,55731296.75,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,478,1
49,06073008312,San Diego,CA,3806,3.41,10083.14286,336.1428571,7,77844.50619,92828068.59,345.1428571,339.4285714,313.1428571,323.7142857,342.2857143,326.4285714,333.7142857,319.4285714,318,316.5714286,340.8571429,326.5714286,322.2857143,322.2857143,316.5714286,336.1428571,304.4285714,308,310.8571429,310.8571429,310.8571429,318,323.7142857,329.4285714,322.1428571,323.5714286,326.7142857,329.4285714,340.8571429,340.8571429,348.5714286,7
50,06073008313,San Diego,CA,2267,0.91,9236.9449,307.897764,2.66234,32302.51805,25625066.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
51,06073008339,San Diego,CA,1780,4.59,9236.9449,307.897764,2.66234,69252.07167,127462574.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
52,06073008341,San Diego,CA,8284,0.32,8070,269,1,17241.51872,8938867.68,259,259,259,259,269,299,319,389,389,389,359,279,279,234,269,249,209,209,209,209,189,189,189,269,199,209,234,209,269,219,269,1
53,06073008343,San Diego,CA,4661,0.3,9236.9449,307.897764,2.66234,12338.03136,8307944.604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
